No.,Best value,Best solution,Runtime
20,130,"[2, 2, 4, 5, 3, 1, 4, 3, 2, 3, 1, 4, 4, 5, 0, 5, 3, 5, 4, 4, 0, 1, 0, 4]",0.24409879999984696
21,184,"[3, 2, 1, 5, 3, 2, 5, 6, 6, 3, 2, 2, 5, 2, 2, 5, 2, 3, 2, 1, 3, 2, 4, 4, 6, 5, 2, 2, 6, 1, 6]",0.042901000000028944
22,269,"[3, 1, 5, 3, 7, 1, 3, 6, 6, 6, 5, 6, 7, 3, 1, 7, 5, 2, 5, 4, 3, 4, 5, 3, 1, 1, 2, 6, 5, 4, 4, 7, 4, 4, 5, 4, 5, 4, 5, 1, 5, 5, 5, 2]",0.039147600000205784
23,361,"[2, 5, 6, 6, 8, 7, 4, 8, 8, 8, 1, 3, 0, 3, 0, 0, 8, 8, 8, 4, 8, 2, 8, 1, 8, 6, 5, 8, 7, 8, 6, 4, 5, 7, 2, 8, 3, 5, 1, 8, 1, 6, 5, 0, 1, 8, 5, 8, 2, 4, 1, 4, 7, 7, 2, 4, 1, 4, 3, 2, 8, 8, 7, 7, 6, 5, 5, 3, 7, 6]",0.16480750000005173
24,410,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 3, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 2, 5, 5, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 7, 7, 6, 7, 7, 7, 7, 5, 7, 8, 8, 7, 7, 7, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9]",0.033055600000125196
25,513,"[1, 3, 4, 4, 6, 4, 5, 5, 4, 5, 5, 2, 1, 6, 10, 5, 7, 3, 7, 2, 8, 4, 10, 6, 4, 4, 7, 8, 2, 4, 7, 9, 4, 4, 2, 1, 3, 7, 9, 5, 7, 4, 7, 10, 2, 6, 9, 4, 4, 1, 5, 4, 6, 4, 4, 5, 1, 4, 10, 6, 7, 2, 10, 8, 4, 4, 7, 4, 3, 9, 6, 3, 1, 6, 4, 3, 4, 8, 3, 4, 5, 7, 4, 3, 9, 4, 1, 5, 5, 7, 8, 4]",0.10062700000003133
26,646,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 5, 6, 6, 3, 6, 6, 7, 7, 4, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 9, 9, 9, 9, 9, 9, 5, 9, 9, 6, 9, 10, 7, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 8, 10, 1, 1, 1, 11, 1, 1, 1, 1]",0.06318270000019766
27,820,"[3, 12, 2, 5, 2, 4, 4, 1, 8, 5, 10, 0, 5, 5, 4, 11, 10, 0, 3, 11, 6, 0, 8, 1, 2, 11, 4, 10, 9, 7, 12, 3, 7, 3, 4, 0, 7, 1, 9, 6, 5, 1, 8, 5, 7, 6, 3, 5, 5, 6, 7, 3, 2, 8, 9, 2, 2, 8, 0, 1, 9, 5, 9, 9, 4, 1, 4, 6, 0, 3, 10, 5, 9, 4, 4, 2, 3, 11, 7, 10, 11, 6, 7, 12, 9, 8, 5, 8, 7, 11, 6, 1, 8, 7, 7, 7, 9, 6, 5, 11, 11, 3, 6, 0, 11, 3, 11, 5, 3, 8, 5, 11, 12, 4, 2, 5, 1, 8, 3, 12, 4, 2, 2, 9, 5, 7, 11, 7, 1, 5, 9, 5, 3, 2, 3, 5, 0, 2, 8, 2, 1, 6, 5, 8, 1, 6, 12, 7, 5, 9, 5, 7, 12, 10, 3, 2]",0.6050895999999284
28,993,"[9, 7, 7, 2, 13, 7, 7, 13, 12, 3, 0, 9, 8, 10, 9, 5, 12, 1, 9, 9, 12, 7, 8, 13, 8, 7, 5, 11, 8, 10, 10, 8, 4, 13, 4, 12, 8, 8, 13, 10, 13, 0, 4, 7, 1, 4, 9, 0, 2, 1, 10, 1, 12, 3, 11, 11, 1, 5, 11, 11, 5, 3, 4, 3, 9, 1, 8, 7, 8, 13, 8, 10, 10, 6, 1, 9, 5, 3, 4, 8, 11, 8, 4, 12, 10, 3, 12, 12, 1, 10, 7, 2, 4, 11, 9, 3, 13, 5, 13, 1, 0, 1, 4, 13, 9, 1, 3, 9, 0, 2, 8, 6, 8, 13, 8, 1, 6, 8, 2, 7, 12, 11, 13, 9, 8, 12, 12, 13, 2, 5, 2, 8, 7, 10, 2, 8, 4, 9, 9, 8, 6, 3, 11, 8, 6, 6, 11, 1, 4, 8, 11, 1, 8, 8, 10, 7, 11, 5, 2, 5, 8, 8, 10, 11, 6, 11, 9, 5, 13, 3, 2, 11, 9, 1, 3, 9, 3, 2, 9, 1]",0.9449105000001055
29,1180,"[4, 4, 9, 10, 8, 8, 6, 12, 13, 13, 8, 12, 11, 9, 2, 14, 9, 1, 10, 13, 12, 12, 3, 6, 7, 11, 6, 11, 8, 10, 12, 6, 9, 4, 11, 3, 7, 10, 2, 1, 9, 6, 8, 13, 4, 9, 9, 4, 10, 3, 14, 4, 13, 8, 9, 2, 12, 3, 13, 4, 3, 6, 0, 7, 4, 10, 10, 3, 12, 6, 9, 13, 0, 2, 3, 13, 8, 1, 11, 10, 12, 13, 7, 5, 14, 12, 7, 1, 2, 7, 1, 13, 7, 2, 8, 4, 6, 2, 9, 9, 5, 1, 0, 0, 0, 0, 3, 1, 8, 9, 7, 12, 14, 7, 10, 7, 8, 5, 12, 9, 9, 8, 8, 5, 13, 13, 7, 3, 3, 14, 5, 10, 11, 9, 10, 14, 8, 1, 12, 4, 3, 8, 6, 5, 14, 2, 3, 9, 7, 6, 10, 1, 12, 10, 8, 11, 10, 5, 10, 3, 6, 2, 2, 4, 1, 12, 12, 11, 4, 14, 9, 9, 12, 1, 0, 5, 10, 11, 5, 1, 8, 9, 4, 0, 13, 10, 14, 5, 7, 6, 11, 4, 3, 5, 6, 2, 12, 12, 1, 0, 5, 3, 11, 2, 1, 10, 4, 12, 10, 9]",1.2699135000000297
